Set,Price_Euro,Pieces,Minifigs
Zane,,8,
Jay,,9,
Luke Skywalker,,6,
Resistance Bomber,,37,
Slave I,,31,
U-wing,,37,
IG-88,,11,
AT-M6,,52,
Millennium Falcon,,32,
B-wing,,52,
First Order Stormtrooper ,,5,
Jedi Interceptor,,30,
First Order SF TIE Fighter,,32,
Kylo Ren's TIE Silencer,,33,
Police Officer and Jet,,22,
Fireman,,9,
Lawnmower,,27,
Police Officer with Jetpack,,10,
Gyrocopter,,29,
Diver,,16,
Police Buggy,,27,
Astronaut,,18,
Pizza Delivery Biker,,10,
Traffic Cop,,9,
Space Buggy,,17,
Lumberjack,,13,
FIRST Competitions Medal,,18,
Spike Prime Marketing Kit,,150,
BOOMTOWN BUILD Discover More,,12,
Butterfly,,45,
LEGO System House,,985,
LEGO Play Day polybag,,39,
Christmas X-wing,,1038,
Reusable Bag,,0,
Yoda Minifigure Link Watch,,0,
2x4 Red Luggage Tag,4.99,0,
2x4 Blue Luggage Tag,4.99,0,
LEGO Pencils 6 pack,3.99,0,
Building a Dream - The Story of the LEGO House,,0,
Emma Buildable Watch,,0,
Boy Luggage Tag,7.99,0,
Storage Bag,,0,
Emmet Alarm Clock,29.99,0,
Wyldstyle Alarm Clock,29.23,0,
Emmet Minifigure Link Watch,24.99,0,
Unikitty Buildable Watch with Figure Link,24.99,0,
Wyldstyle Minifigure Link Watch,24.36,0,
Hot Dog Guy Key Light,12.99,0,
Banana Guy Key Light,12.99,0,
Batman Luggage Tag,7.99,0,
Emmet Luggage Tag,7.99,0,
Sweet Mayhem Luggage Tag,7.99,0,
Unikitty Luggage Tag,7.99,0,
Unikitty Night Light,34.99,0,
THE LEGO MOVIE 2 Sticker Roll,3.99,0,
Batman Key Light,12.99,0,
Emmet Key Light,12.99,0,
Unikitty Key Light,12.99,0,
Boy NiteLite,,0,
Girl NiteLite,,0,
Unikitty Torch,,0,
Bag Tag,,0,
Lunch Set Iconic Girl,,0,
The LEGO Movie 2 Awesome Trading Cards,,0,
